,start,end,ward,2_geo_location_of_busstop_latitude,2_geo_location_of_busstop_longitude,3_types_of_bus_stops_which_buses_stop_at_the_bus_stop_private_ksrtc_interstate_intercity_city_service,3_types_of_bus_stops_which_buses_stop_at_the_bus_stop_private_ksrtc_interstate_intercity_city_service_private_buses,3_types_of_bus_stops_which_buses_stop_at_the_bus_stop_private_ksrtc_interstate_intercity_city_service_ksrtc_long_distance,3_types_of_bus_stops_which_buses_stop_at_the_bus_stop_private_ksrtc_interstate_intercity_city_service_ksrtc_city_service,4_does_the_bus_stop_has_a_physical_structure_roof_and_structure,5_are_bus_stops_disabled_friendly_yes_no,6_how_many_people_can_sit_in_the_bus_stop_comfortably,7_what_is_the_roof_condition_of_bus_stops,8_is_there_a_separate_section_for_women_yes_no,9_is_there_any_advertisement_on_the_bus_stop_yes_no,10_are_there_any_political_advertisements_relating_to_political_figures_or_parties_at_the_bus_stop,11_end_destinations_from_the_bus_stop,12_distance_to_nearest_auto_stand_km,12_distance_to_nearest_bus_stop_km,12_distance_to_nearest_metro_station_km,15_distance_to_public_toilet_sulabh_comfort_stations_km,16_mode_of_payment_accepted_on_buses_in_general_from_the_bus_stop_upi_cash_both,16_mode_of_payment_accepted_on_buses_in_general_from_the_bus_stop_upi_cash_both_upi,16_mode_of_payment_accepted_on_buses_in_general_from_the_bus_stop_upi_cash_both_cash,16_mode_of_payment_accepted_on_buses_in_general_from_the_bus_stop_upi_cash_both_both,17_number_of_buses_passing_the_bus_stop_during_peak_hours,18_does_a_passenger_get_a_sear_in_morning_peak_hours_from_the_bus_stop,19_does_a_passenger_get_a_sear_in_evening_peak_hours_from_the_bus_stop,20_does_a_passenger_get_a_sear_in_non_peak_hours_from_the_bus_stop,21_do_you_have_shop_to_buy_food_and_water_general_store_or_other_local_alternatives,22_is_there_any_pharmacy_nearby,23_is_there_any_atm_nearby,24_are_there_lights_at_the_bus_stop_especially_working_during_the_night,25_dustbin_available_at_the_bus_stop,26_nature_sture_of_seating_in_the_bus_stop,27_cctv_coverage_of_bus_stops_from_nearby_shops_etc,28_language_for_information_at_the_bus_stop,28_language_for_information_at_the_bus_stop_english,28_language_for_information_at_the_bus_stop_malayalam,28_language_for_information_at_the_bus_stop_hindi,28_language_for_information_at_the_bus_stop_bengali,28_language_for_information_at_the_bus_stop_tamil,28_language_for_information_at_the_bus_stop_others,29_are_the_timings_of_the_buses_displayed_at_the_bus_stop,30_are_the_bus_routes_written_at_the_bus_stop,31_time_of_first_bus_from_the_stop,32_time_of_last_bus_from_the_stop,15_distance_to_public_toilet_sulabh_comfort_stations_m,id,uuid,submission_time,status,version,index,source_sheet,latitude,longitude,ward
0,48:36.6,26:46.7,1,9.966109,76.245426,Private Buses,1,0,0,Yes,,10,Good (High quality roof and aesthic),No,No,No,,0.1,0.2,,,Cash,0,1,0,20,No,Yes,Yes,No,Yes,No,No,No,Marble,No,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 06:00:00+05:30,2025-09-16 22:00:00+05:30,150,556380953,44191177-3607-4c76-96ad-8c781b381dde,9/11/2025 6:56,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,7,Sheet1,9.966109,76.245426,1
1,15:39.8,38:48.9,60,9.9456503,76.2934707,Private Buses,1,0,0,No,,0,Poor (Broken/Leaking/Rusted Roofs),No,No,No,,1,0.22,3.3,,Cash,0,1,0,15,No,No,Yes,Yes,Yes,No,No,No,No seats,Yes,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 05:00:00+05:30,2025-09-16 11:00:00+05:30,1000,558537577,f2ac04df-f7b2-4df7-b435-9f987a012ed8,9/14/2025 4:08,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,8,Sheet1,9.9456503,76.2934707,60
2,38:48.9,46:19.3,60,9.9467322,76.3035102,Private Buses KSRTC city service,1,0,1,Yes,,0,,No,No,No,,1,0.23,2.6,,Cash,0,1,0,4,Yes,No,Yes,No,No,No,No,No,No seats,No,Others,,,,,,,No,No,2025-09-16 08:00:00+05:30,2025-09-16 18:00:00+05:30,500,558539144,00437fb1-48f2-465f-8705-b74e2f84056b,9/14/2025 4:16,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,9,Sheet1,9.9467322,76.3035102,60
3,20:14.0,50:56.6,59,9.92598,76.30441,Private Buses,1,0,0,Yes,,15,Average (Proper Roofing),No,Yes,No,,0.55,0.4,8.9,,Cash,0,1,0,3,Yes,Yes,Yes,Yes,No,No,Yes,No,Cement seats,No,English  Malayalam,1,1,0,0,0,0,No,No,2025-09-16 06:30:00+05:30,2025-09-16 09:10:00+05:30,6,558539722,835f798e-6d38-4623-b98a-bacce8dfeee1,9/14/2025 4:20,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,10,Sheet1,9.92598,76.30441,59
4,46:19.3,51:31.9,60,9.948633,76.303423,Private Buses KSRTC city service,1,0,1,No,,0,,No,No,No,,0.01,0.23,2.4,,Cash,0,1,0,5,Yes,Yes,Yes,No,Yes,Yes,No,No,No seats,No,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 08:00:00+05:30,2025-09-16 18:00:00+05:30,600,558539828,aa819620-ba68-4552-8cca-bec2f9fd1633,9/14/2025 4:21,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,11,Sheet1,9.948633,76.303423,60
5,51:31.9,57:57.2,60,9.952519,76.302629,Private Buses KSRTC city service,1,0,1,No,,0,,No,No,No,,300,0.23,2.1,,Cash,0,1,0,5,Yes,Yes,Yes,No,Yes,Yes,No,No,No seats,No,Others,,,,,,,No,No,2025-09-16 08:15:00+05:30,2025-09-16 18:15:00+05:30,300,558541597,a1a642d0-e190-49a2-a6a3-af05fd0fc1a8,9/14/2025 4:27,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,13,Sheet1,9.952519,76.302629,60
6,50:56.7,11:59.3,59,9.93864,76.29671,Private Buses,1,0,0,Yes,,5,Average (Proper Roofing),No,No,No,,1.1,0.9,1.4,,Cash,0,1,0,3,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Bench,No,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 06:35:00+05:30,2025-09-16 09:15:00+05:30,8.6,558544438,011e2e58-013a-45dd-825d-2caa534f81b1,9/14/2025 4:42,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,14,Sheet1,9.93864,76.29671,59
7,57:57.2,28:55.2,74,10.001435,76.27924,Private Buses KSRTC Long distance KSRTC city service,1,1,1,No,,0,,No,No,No,,0.5,0.23,2.6,,Cash,0,1,0,40,No,No,Yes,Yes,Yes,Yes,Yes,No,No seats,Yes,Others,,,,,,,No,No,2025-09-16 05:00:00+05:30,2025-09-16 23:00:00+05:30,300,558548352,861f28f7-33bd-48c5-bc02-a56d6a5095b2,9/14/2025 4:58,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,15,Sheet1,10.001435,76.27924,74
8,28:55.2,49:07.5,74,10.005968,76.276598,Private Buses KSRTC Long distance KSRTC city service,1,1,1,No,,0,,No,No,No,,0.1,0.23,3.3,,Cash,0,1,0,50,No,No,Yes,Yes,Yes,No,No,No,No seats,Yes,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 05:00:00+05:30,2025-09-16 23:00:00+05:30,40,558553787,5b0eb54c-ffea-4ea2-abd0-07f979182541,9/14/2025 5:19,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,16,Sheet1,10.005968,76.276598,74
9,49:07.5,52:10.0,74,10.0140485,76.2767357,Private Buses KSRTC city service,1,0,1,No,,0,,No,No,No,,0.01,1.3,3.2,,Cash,0,1,0,60,No,No,Yes,Yes,No,Yes,No,No,No seats,Yes,Malayalam,0,1,0,0,0,0,No,No,2025-09-16 05:00:00+05:30,2025-09-16 23:00:00+05:30,700,558554353,5b1c89e0-f3b5-4bfb-b079-209e7a4cbb1e,9/14/2025 5:22,submitted_via_web,v9jEhaZ2tJJxfNW8HG5b5f,17,Sheet1,10.0140485,76.2767357,74
