,Ward,2_choose_the_mode_of_transport,3_what_is_the_distance_of_airport_from_the_ward_morning_peak,4_time_taken_to_reach_the_airport_morning_peak,5_what_is_the_cost_required_to_reach_the_airport_morning_peak,6_what_is_the_distance_of_north_railway_station_the_ward_morning_peak,7_time_taken_to_reach_north_railway_station_from_the_ward_morning_peak,8_what_is_the_cost_required_to_reach_north_railway_station_from_the_ward_morning_peak,9_what_is_the_distance_of_south_railway_station_from_the_ward_morning_peak,10_time_taken_to_reach_the_south_railway_station_from_the_ward_morning_peak,11_what_is_the_cost_required_to_reach_south_railway_station_from_the_ward_morning_peak,12_what_is_the_distance_to_any_other_railway_station_from_the_ward_morning_peak,13_time_taken_to_reach_any_other_railway_station_from_the_ward_morning_peak,14_what_is_the_cost_required_to_reach_any_other_railway_station_from_the_ward_morning_peak,15_what_is_the_distance_of_airport_from_the_ward_non_peak,16_time_taken_to_reach_the_airport_non_peak,17_what_is_the_cost_required_to_reach_the_airport_non_peak,18_what_is_the_distance_of_railway_station_north_from_the_ward_non_peak,19_time_taken_to_reach_railway_station_north_from_the_ward_non_peak,20_what_is_the_cost_required_to_reach_railway_station_north_from_the_ward_non_peak,21_what_is_the_distance_of_railway_station_south_from_the_ward_non_peak,22_time_taken_to_reach_the_north_from_south_from_the_ward_non_peak,23_what_is_the_cost_required_to_reach_railway_station_south_from_the_ward_non_peak,24_what_is_the_distance_of_railway_station_other_from_the_ward_non_peak,25_time_taken_to_reach_the_north_from_other_from_the_ward_non_peak,26_what_is_the_cost_required_to_reach_railway_station_other_from_the_ward_non_peak,27_what_is_the_distance_of_airport_from_the_ward_evening_peak,28_time_taken_to_reach_the_airport_evening_peak,29_what_is_the_cost_required_to_reach_the_airport_evening_peak,30_what_is_the_distance_of_railway_station_north_from_the_ward_evening_peak,31_time_taken_to_reach_railway_station_north_from_the_ward_evening_peak,32_what_is_the_cost_required_to_reach_railway_station_north_from_the_ward_evening_peak,33_what_is_the_distance_of_railway_station_south_from_the_ward_evening_peak,34_time_taken_to_reach_the_north_from_south_from_the_ward_evening_peak,35_what_is_the_cost_required_to_reach_railway_station_south_from_the_ward_evening_peak,36_what_is_the_distance_of_railway_station_other_from_the_ward_evening_peak,37_time_taken_to_reach_the_north_from_other_from_the_ward_evening_peak,38_what_is_the_cost_required_to_reach_railway_station_other_from_the_ward_evening_peak,39_what_is_the_distance_of_airport_from_the_ward_after_10,40_time_taken_to_reach_the_airport_after_10,41_what_is_the_cost_required_to_reach_the_airport_after_10,42_what_is_the_distance_of_railway_station_north_from_the_ward_after_10,43_time_taken_to_reach_railway_station_north_from_the_ward_after_10,44_what_is_the_cost_required_to_reach_railway_station_north_from_the_ward_after_10,45_what_is_the_distance_of_railway_station_south_from_the_ward_after_10,46_time_taken_to_reach_the_north_from_south_from_the_ward_after_10,47_what_is_the_cost_required_to_reach_railway_station_south_from_the_ward_after_10,48_what_is_the_distance_of_railway_station_other_from_the_ward_after_10,49_time_taken_to_reach_the_north_from_other_from_the_ward_after_10,50_what_is_the_cost_required_to_reach_railway_station_other_from_the_ward,source_sheet,ward
0,60,Private,32,00:00.0,1300,6.8,00:00.0,230,4.3,00:00.0,125,,,,32,00:00.0,1000,6.8,00:00.0,150,4.3,00:00.0,100,,,,32,00:00.0,1200,6.8,00:00.0,180,4.3,00:00.0,150,,,,32,00:00.0,1100,6.8,00:00.0,200,4.3,00:00.0,150,,,,Transportation Best Way to R...,60
1,64,Private,26,00:00.0,600,1.5,00:00.0,80,3.3,00:00.0,,2,00:00.0,,26,00:00.0,,1.6,00:00.0,,3.3,00:00.0,,1.9,00:00.0,,26,00:00.0,,1.5,00:00.0,,3.3,00:00.0,,2.5,00:00.0,,26,00:00.0,,1.5,00:00.0,,3.3,00:00.0,,2.5,00:00.0,,Transportation Best Way to R...,64
2,64,Public,26,00:00.0,70,1.5,00:00.0,10,3.3,00:00.0,14,2,00:00.0,10,26,00:00.0,70,1.6,00:00.0,,3.3,00:00.0,,2.5,00:00.0,10,26,00:00.0,70,1.5,00:00.0,,3.3,00:00.0,14,2.5,00:00.0,10,26,00:00.0,70,1.5,00:00.0,0,3.3,00:00.0,14,2.5,00:00.0,10,Transportation Best Way to R...,64
3,63,Private,28,00:00.0,750,3.1,00:00.0,150,2.9,00:00.0,,4.4,00:00.0,,28,00:00.0,,3.1,00:00.0,,2.9,00:00.0,,4.4,00:00.0,,28,00:00.0,,3.1,00:00.0,,2.9,00:00.0,,4.4,00:00.0,,28,00:00.0,,3.1,00:00.0,,2.9,00:00.0,,4.4,00:00.0,,Transportation Best Way to R...,63
4,63,Public,28,00:00.0,70,3.1,00:00.0,20,2.9,00:00.0,0,4.4,00:00.0,11,28,00:00.0,71,3.1,00:00.0,20,2.9,00:00.0,0,4.4,00:00.0,11,28,00:00.0,70,3.1,00:00.0,20,2.9,00:00.0,0,4.4,00:00.0,17,28,00:00.0,44,3.1,00:00.0,15,2.9,00:00.0,0,4.4,00:00.0,11,Transportation Best Way to R...,63
5,54,Public,29,00:00.0,80,4.5,00:00.0,15,3.3,00:00.0,20,5.1,00:00.0,14,29,00:00.0,,4.5,00:00.0,20,1.7,00:00.0,10,5.1,00:00.0,11,29,00:00.0,,4.5,00:00.0,20,1.7,00:00.0,20,5.1,00:00.0,30,29,00:00.0,48,4.5,00:00.0,14,1.7,00:00.0,0,5.1,00:00.0,11,Transportation Best Way to R...,54
6,54,Private,29,00:00.0,800,4.5,00:00.0,170,3.3,00:00.0,,5.1,00:00.0,,29,00:00.0,,4.5,00:00.0,,3.3,00:00.0,,5.1,00:00.0,,29,00:00.0,,4.5,00:00.0,,3.5,00:00.0,,5.1,00:00.0,,29,00:00.0,,4.5,00:00.0,,3.5,00:00.0,,5.1,00:00.0,,Transportation Best Way to R...,54
7,37,Private,17,00:00.0,450,6.8,00:00.0,120,9.3,00:00.0,140,,,,17,00:00.0,110,6.8,00:00.0,120,9.3,00:00.0,140,,,,17,00:00.0,450,6.8,00:00.0,120,9.3,00:00.0,140,,,,17,00:00.0,550,6.8,00:00.0,180,9.3,00:00.0,180,,,,Transportation Best Way to R...,37
8,37,Public,17,00:00.0,110,6.8,00:00.0,30,9.3,00:00.0,40,,,,17,00:00.0,110,6.8,00:00.0,30,9.3,00:00.0,40,,,,17,00:00.0,110,6.8,00:00.0,30,9.3,00:00.0,40,,,,17,00:00.0,130,6.8,00:00.0,95,9.3,00:00.0,120,,,,Transportation Best Way to R...,37
9,40,Public,30,00:00.0,120,3,00:00.0,20,5,00:00.0,30,1,00:00.0,20,30,00:00.0,120,3,00:00.0,20,5,00:00.0,30,1,00:00.0,20,30,00:00.0,120,3,00:00.0,20,5,00:00.0,30,1,00:00.0,20,30,00:00.0,120,3,00:00.0,20,5,00:00.0,30,1,00:00.0,20,Transportation Best Way to R...,40
