start,end,Ward,_2_where_is_the_auto_stand_location_latitude,_2_where_is_the_auto_stand_location_longitude,3_what_is_the_number_of_autos_in_the_stand_,4_what_is_the_fuel_consumption_of_majority_of_autos_in_the_stand_,4_what_is_the_fuel_consumption_of_majority_of_autos_in_the_stand_cng,4_what_is_the_fuel_consumption_of_majority_of_autos_in_the_stand_electric,4_what_is_the_fuel_consumption_of_majority_of_autos_in_the_stand_petrol_bio_fuel,5_are_there_any_female_auto_drivers_,6_if_previous_question_answered_yes_how_many_female_auto_drivers_are_present_,7_how_many_autos_are_listed_with_uber_ola_,8_generally_which_locations_do_people_go_from_the_stand,9_how_far_is_the_location_the_auto_stand_serve_in_kms_,10_on_average_how_many_trips_do_an_auto_they_take_daily_,11_what_type_of_fare_do_they_take_,11_what_type_of_fare_do_they_take_meter,11_what_type_of_fare_do_they_take_fixed_rate,11_what_type_of_fare_do_they_take_non_standardised,12_are_auto_available_in_the_stand_24_hours_,13_timings_of_the_auto_stand,14_are_autos_available_at_night_beyond_10_00_p_m_,15_which_trade_union_the_majority_of_the_autos_are_affiliated_to_,15_which_trade_union_the_majority_of_the_autos_are_affiliated_to_intuc,15_which_trade_union_the_majority_of_the_autos_are_affiliated_to_bms,15_which_trade_union_the_majority_of_the_autos_are_affiliated_to_citu,15_which_trade_union_the_majority_of_the_autos_are_affiliated_to_aituc,15_which_trade_union_the_majority_of_the_autos_are_affiliated_to_none,15_which_trade_union_the_majority_of_the_autos_are_affiliated_to_others,16_what_mode_of_payment_is_accepted_in_the_autos_general_from_the_stand_,16_what_mode_of_payment_is_accepted_in_the_autos_general_from_the_stand_upi,16_what_mode_of_payment_is_accepted_in_the_autos_general_from_the_stand_cash
28:57.9,26:28.2,1,9.967194,76.24286,17,CNG Petrol/Bio-fuel,1,0,1,No,,10,Jew Town,4,12,Fixed Rate,0,1,0,No,22-Jun,No,CITU,,,,,,,UPI Cash,1,1
26:28.2,33:10.5,1,9.968433,76.244982,200,CNG Petrol/Bio-fuel,1,0,1,No,,70,Mattancherry,5,40,Meter,1,0,0,No,5:30-00,Yes,CITU,,,,,,,UPI Cash,1,1
12:29.5,14:05.3,60,9.948714,76.303313,4,CNG Petrol/Bio-fuel,1,0,1,No,,2,"Metro stations, general shops",1.5,10,Fixed Rate,0,1,0,Yes,,No,CITU,,,,,,,UPI Cash,1,1
01:56.6,32:01.7,54,9.971334,76.300526,8,CNG Petrol/Bio-fuel,1,0,1,No,,6,"metro stations, vytilla bus stand, nearby school, jawahar nagar avenue, pothys mall",6,20,Non-Standardised,0,1,1,No,11-Jun,Yes,BMS,,,,,,,UPI Cash,1,1
22:41.2,24:28.3,22,,,3,Petrol/Bio-fuel,0,0,1,No,,0,"Thoppumpady, Wellington island",5,18,Meter,1,0,0,No,6 am - 11 pm,Yes,INTUC,,,,,,,UPI Cash,1,1
27:06.6,26:30.7,59,9.932678,76.299201,30,CNG Petrol/Bio-fuel,1,0,1,No,,30,"Cherthala, Marine drive, High court",20,30,Fixed Rate,1,1,0,No,05:00 - 21:00,No,CITU,,,,,,,UPI Cash,1,1
17:53.5,20:44.8,64,9.991121991,76.29319309,100,CNG Electric Petrol/Bio-fuel,1,1,1,Yes,4,10,North Kaloor,50,25,Fixed Rate,1,1,0,Yes,6:00 am - 10:00 p.m,Yes,CITU,,,,,,,UPI Cash,1,1
41:31.5,45:48.6,63,9.977532,76.294233,10,CNG Petrol/Bio-fuel,1,0,1,No,,5,Kadvantra Metro station,5,15,Non-Standardised,0,0,1,No,,No,INTUC,,,,,,,UPI Cash,1,1
45:48.6,50:43.2,63,9.974468,76.294041,15,CNG Petrol/Bio-fuel,1,0,1,No,,8,South Railway station,3,15,Non-Standardised,0,0,1,No,,Yes,CITU,,,,,,,UPI Cash,1,1
05:05.2,51:08.3,63,9.96685,76.30013,10,Petrol/Bio-fuel,0,0,1,Yes,2,7,"Kaloor, Vytilla, General hospital",5,20,Non-Standardised,0,1,1,No,6am-11pm,Yes,BMS,,,,,,,UPI Cash,1,1
