ward,area_km2,bus_count,auto_count,metro_count,taxi_count,Unnamed: 0,2_choose_the_mode_of_transport,3_what_is_the_distance_of_airport_from_the_ward_morning_peak,4_time_taken_to_reach_the_airport_morning_peak,5_what_is_the_cost_required_to_reach_the_airport_morning_peak,6_what_is_the_distance_of_north_railway_station_the_ward_morning_peak,7_time_taken_to_reach_north_railway_station_from_the_ward_morning_peak,8_what_is_the_cost_required_to_reach_north_railway_station_from_the_ward_morning_peak,9_what_is_the_distance_of_south_railway_station_from_the_ward_morning_peak,10_time_taken_to_reach_the_south_railway_station_from_the_ward_morning_peak,11_what_is_the_cost_required_to_reach_south_railway_station_from_the_ward_morning_peak,12_what_is_the_distance_to_any_other_railway_station_from_the_ward_morning_peak,13_time_taken_to_reach_any_other_railway_station_from_the_ward_morning_peak,14_what_is_the_cost_required_to_reach_any_other_railway_station_from_the_ward_morning_peak,15_what_is_the_distance_of_airport_from_the_ward_non_peak,16_time_taken_to_reach_the_airport_non_peak,17_what_is_the_cost_required_to_reach_the_airport_non_peak,18_what_is_the_distance_of_railway_station_north_from_the_ward_non_peak,19_time_taken_to_reach_railway_station_north_from_the_ward_non_peak,20_what_is_the_cost_required_to_reach_railway_station_north_from_the_ward_non_peak,21_what_is_the_distance_of_railway_station_south_from_the_ward_non_peak,22_time_taken_to_reach_the_north_from_south_from_the_ward_non_peak,23_what_is_the_cost_required_to_reach_railway_station_south_from_the_ward_non_peak,24_what_is_the_distance_of_railway_station_other_from_the_ward_non_peak,25_time_taken_to_reach_the_north_from_other_from_the_ward_non_peak,26_what_is_the_cost_required_to_reach_railway_station_other_from_the_ward_non_peak,27_what_is_the_distance_of_airport_from_the_ward_evening_peak,28_time_taken_to_reach_the_airport_evening_peak,29_what_is_the_cost_required_to_reach_the_airport_evening_peak,30_what_is_the_distance_of_railway_station_north_from_the_ward_evening_peak,31_time_taken_to_reach_railway_station_north_from_the_ward_evening_peak,32_what_is_the_cost_required_to_reach_railway_station_north_from_the_ward_evening_peak,33_what_is_the_distance_of_railway_station_south_from_the_ward_evening_peak,34_time_taken_to_reach_the_north_from_south_from_the_ward_evening_peak,35_what_is_the_cost_required_to_reach_railway_station_south_from_the_ward_evening_peak,36_what_is_the_distance_of_railway_station_other_from_the_ward_evening_peak,37_time_taken_to_reach_the_north_from_other_from_the_ward_evening_peak,38_what_is_the_cost_required_to_reach_railway_station_other_from_the_ward_evening_peak,39_what_is_the_distance_of_airport_from_the_ward_after_10,40_time_taken_to_reach_the_airport_after_10,41_what_is_the_cost_required_to_reach_the_airport_after_10,42_what_is_the_distance_of_railway_station_north_from_the_ward_after_10,43_time_taken_to_reach_railway_station_north_from_the_ward_after_10,44_what_is_the_cost_required_to_reach_railway_station_north_from_the_ward_after_10,45_what_is_the_distance_of_railway_station_south_from_the_ward_after_10,46_time_taken_to_reach_the_north_from_south_from_the_ward_after_10,47_what_is_the_cost_required_to_reach_railway_station_south_from_the_ward_after_10,48_what_is_the_distance_of_railway_station_other_from_the_ward_after_10,49_time_taken_to_reach_the_north_from_other_from_the_ward_after_10,50_what_is_the_cost_required_to_reach_railway_station_other_from_the_ward,area_share,population,buses_per_1000,autos_per_1000,taxis_per_1000,metros_per_1000,road_km_total,road_km_per_1000,bus_n,auto_n,taxi_n,metro_n,inv_n,intermodal_score
29,5.5459,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06756289212401778,62428,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2.4893,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030325881707985627,28021,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.04914004914004914,0.0,0.9828009828009828
15,1.4132,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01721630017664616,15908,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.11547911547911549,0.0,2.3095823095823103
16,1.4139,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01722482792227569,15916,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.11547911547911549,0.0,2.3095823095823103
14,0.6192,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0075434001340074315,6970,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.31203931203931207,0.0,6.240786240786242
5,0.841,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01024547724919291,9467,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.22113022113022113,0.0,4.422604422604423
9,0.2718,0,1,1,0,29.5,,39.5,,622.5,11.3,,149.0,8.6,,127.5,13.5,,175.475,39.5,,614.5,11.3,,149.5,8.6,,127.5,13.5,,188.0,39.5,,639.5,11.3,,160.0,8.6,,137.5,13.85,,198.5,39.5,,639.5,11.3,,149.5,8.7,,132.5,13.85,,176.5,0.003311201803009076,3060,0.0,0.327,0.0,0.327,0.0,0.0,0.0,0.5413907284768212,0.0,0.7641277641277642,0.43037974683544306,30.41416732044614
10,0.7082,0,2,1,0,25.5,,38.7,,653.5,10.35,,203.5,7.8,,122.5,13.2,,172.5,38.7,,645.0,10.35,,194.0,7.8,,112.5,13.2,,163.0,38.7,,655.0,10.35,,210.0,7.8,,137.5,13.2,,178.0,38.7,,670.0,10.35,,219.0,7.8,,157.5,13.2,,176.0,0.008627642078333437,7972,0.0,0.251,0.0,0.125,0.0,0.0,0.0,0.4155629139072848,0.0,0.2678132678132678,0.4392764857881137,18.06028849229219
11,1.2533,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015268319424986297,14108,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.13513513513513511,0.0,2.7027027027027026
6,0.3693,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0044989949442650915,4157,0.0,0.0,0.0,0.241,0.0,0.0,0.0,0.0,0.0,0.5528255528255528,0.0,11.056511056511056
